D 01:24:57.5675070 GameState.DebugPrintPowerList() - Count=118
D 01:24:57.5812960 GameState.DebugPrintPower() - CREATE_GAME
D 01:24:57.5861690 GameState.DebugPrintPower() -     GameEntity EntityID=1
D 01:24:57.6001730 GameState.DebugPrintPower() -         tag=TAG_SCRIPT_DATA_NUM_1 value=7
D 01:24:57.6078010 GameState.DebugPrintPower() -         tag=TAG_SCRIPT_DATA_NUM_2 value=4
D 01:24:57.6148710 GameState.DebugPrintPower() -         tag=10 value=85
D 01:24:57.6209560 GameState.DebugPrintPower() -         tag=TURN value=1
D 01:24:57.6292720 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 01:24:57.6324040 GameState.DebugPrintPower() -         tag=ENTITY_ID value=1
D 01:24:57.6371310 GameState.DebugPrintPower() -         tag=NEXT_STEP value=BEGIN_MULLIGAN
D 01:24:57.6414970 GameState.DebugPrintPower() -         tag=CARDTYPE value=GAME
D 01:24:57.6472530 GameState.DebugPrintPower() -         tag=STATE value=RUNNING
D 01:24:57.6542310 GameState.DebugPrintPower() -     Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=18493185]
D 01:24:57.6572740 GameState.DebugPrintPower() -         tag=TIMEOUT value=75
D 01:24:57.6639380 GameState.DebugPrintPower() -         tag=PLAYSTATE value=PLAYING
D 01:24:57.6798010 GameState.DebugPrintPower() -         tag=CURRENT_PLAYER value=1
D 01:24:57.6836430 GameState.DebugPrintPower() -         tag=FIRST_PLAYER value=1
D 01:24:57.6895080 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=64
D 01:24:57.6917260 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 01:24:57.6974010 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 01:24:57.6996860 GameState.DebugPrintPower() -         tag=PLAYER_ID value=1
D 01:24:57.7030970 GameState.DebugPrintPower() -         tag=TEAM_ID value=1
D 01:24:57.7054270 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 01:24:57.7074090 GameState.DebugPrintPower() -         tag=CONTROLLER value=1
D 01:24:57.7093550 GameState.DebugPrintPower() -         tag=ENTITY_ID value=2
D 01:24:57.7146720 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 01:24:57.7196980 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
