D 19:27:47.6192070 PowerTaskList.DebugPrintPower() -     CREATE_GAME
D 19:27:47.6192410 PowerTaskList.DebugPrintPower() -         GameEntity EntityID=1
D 19:27:47.6193300 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 19:27:47.6193810 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=1
D 19:27:47.6194420 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=GAME
D 19:27:47.6194920 PowerTaskList.DebugPrintPower() -         Player EntityID=2 PlayerID=1 GameAccountId=redacted
D 19:27:47.6195430 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=64
D 19:27:47.6195920 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 19:27:47.6196350 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 19:27:47.6196800 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=1
D 19:27:47.6197240 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=1
D 19:27:47.6197760 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 19:27:47.6198210 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=1
D 19:27:47.6198650 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=2
D 19:27:47.6199100 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 19:27:47.6199700 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 19:27:47.6200180 PowerTaskList.DebugPrintPower() -         Player EntityID=3 PlayerID=2 GameAccountId=redacted
D 19:27:47.6200680 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=66
D 19:27:47.6201130 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 19:27:47.6201590 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 19:27:47.6202020 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=2
D 19:27:47.6203100 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=2
D 19:27:47.6203790 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 19:27:47.6204260 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=2
D 19:27:47.6204710 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=3
D 19:27:47.6205160 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 19:27:47.6206470 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 19:27:47.6237990 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=4 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6239610 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6240210 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6240690 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=4
D 19:27:47.6241590 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=5 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6242190 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6242650 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6243110 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=5
D 19:27:47.6243820 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=6 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6244380 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6244860 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6245330 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=6
D 19:27:47.6246020 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=7 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6246590 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6247040 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6247480 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=7
D 19:27:47.6248200 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=8 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6248780 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6249300 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6249790 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=8
D 19:27:47.6250480 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=9 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6251040 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6251500 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6251970 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=9
D 19:27:47.6252660 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=10 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6253230 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6253670 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6254240 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=10
D 19:27:47.6255020 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=11 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6255620 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6256070 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6256500 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=11
D 19:27:47.6257240 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=12 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6257820 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6258280 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6258790 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=12
D 19:27:47.6259480 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=13 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6260080 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:27:47.6260850 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:27:47.6261300 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=13
D 19:27:47.6262020 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=14 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:27:47.6262600 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
