D 10:35:38.1340260 PowerTaskList.DebugPrintPower() -     CREATE_GAME
D 10:35:38.1340590 PowerTaskList.DebugPrintPower() -         GameEntity EntityID=1
D 10:35:38.1341240 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 10:35:38.1341770 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=1
D 10:35:38.1342330 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=GAME
D 10:35:38.1342840 PowerTaskList.DebugPrintPower() -         Player EntityID=2 PlayerID=1 GameAccountId=redacted
D 10:35:38.1343360 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=64
D 10:35:38.1343850 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 10:35:38.1344340 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 10:35:38.1344820 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=1
D 10:35:38.1345290 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=1
D 10:35:38.1345870 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 10:35:38.1346350 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=1
D 10:35:38.1346850 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=2
D 10:35:38.1347310 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 10:35:38.1347860 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 10:35:38.1348360 PowerTaskList.DebugPrintPower() -         Player EntityID=3 PlayerID=2 GameAccountId=redacted
D 10:35:38.1348870 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=66
D 10:35:38.1349330 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 10:35:38.1349790 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 10:35:38.1350290 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=2
D 10:35:38.1350750 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=2
D 10:35:38.1351290 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 10:35:38.1351760 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=2
D 10:35:38.1352210 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=3
D 10:35:38.1353020 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 10:35:38.1353590 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 10:35:38.1354390 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=4 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1354970 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1355450 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1355920 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=4
D 10:35:38.1356630 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=5 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1357210 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1357680 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1358180 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=5
D 10:35:38.1358960 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=6 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1359550 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1360360 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1360870 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=6
D 10:35:38.1361540 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=7 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1362120 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1362620 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1363080 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=7
D 10:35:38.1363760 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=8 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1364310 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1364780 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1365250 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=8
D 10:35:38.1365960 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=9 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1366510 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1366970 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1367420 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=9
D 10:35:38.1368110 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=10 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1368680 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1369210 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1369670 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=10
D 10:35:38.1370340 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=11 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1370900 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1371360 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1371830 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=11
D 10:35:38.1372530 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=12 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1373130 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1373580 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1374040 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=12
D 10:35:38.1374740 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=13 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1375520 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1376000 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1376450 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=13
D 10:35:38.1377110 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=14 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1377670 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1378130 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1378610 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=14
D 10:35:38.1379320 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=15 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1379900 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1380370 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1380820 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=15
D 10:35:38.1381510 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=16 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1382100 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1382560 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1383070 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=16
D 10:35:38.1383770 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=17 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1384350 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1384820 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1385280 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=17
D 10:35:38.1386010 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=18 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1386580 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1387070 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1387550 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=18
D 10:35:38.1388220 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=19 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1388810 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1389270 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1389720 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=19
D 10:35:38.1390470 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=20 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1391040 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1391500 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1391980 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=20
D 10:35:38.1392670 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=21 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1393210 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1393920 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1394370 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=21
D 10:35:38.1395010 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=22 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1395600 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1396080 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1396560 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=22
D 10:35:38.1397420 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=23 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1397990 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1398450 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1398930 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=23
D 10:35:38.1399610 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=24 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1400180 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1400640 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1401100 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=24
D 10:35:38.1401820 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=25 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1402460 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1402930 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1403390 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=25
D 10:35:38.1404090 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=26 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1404650 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1405110 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1405570 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=26
D 10:35:38.1406240 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=27 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1406810 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1407300 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1407770 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=27
D 10:35:38.1408480 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=28 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1409060 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1409530 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1410020 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=28
D 10:35:38.1410710 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=29 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1411270 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1411760 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:35:38.1412220 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=29
D 10:35:38.1412950 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=30 zone=DECK zonePos=0 cardId= player=1] CardID=
D 10:35:38.1413510 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 10:35:38.1413990 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
