D 19:17:19.9143380 PowerTaskList.DebugPrintPower() -     CREATE_GAME
D 19:17:19.9144350 PowerTaskList.DebugPrintPower() -         GameEntity EntityID=1
D 19:17:19.9145710 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 19:17:19.9146850 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=1
D 19:17:19.9148100 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=GAME
D 19:17:19.9149200 PowerTaskList.DebugPrintPower() -         Player EntityID=2 PlayerID=1 GameAccountId=[hi=redacted lo=15750774]
D 19:17:19.9150360 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=64
D 19:17:19.9151490 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 19:17:19.9152560 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 19:17:19.9153630 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=1
D 19:17:19.9154690 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=1
D 19:17:19.9155900 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 19:17:19.9156970 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=1
D 19:17:19.9158030 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=2
D 19:17:19.9159160 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 19:17:19.9160330 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 19:17:19.9161340 PowerTaskList.DebugPrintPower() -         Player EntityID=3 PlayerID=2 GameAccountId=[hi=redacted lo=18327851]
D 19:17:19.9162530 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=66
D 19:17:19.9163680 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 19:17:19.9164750 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 19:17:19.9165860 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=2
D 19:17:19.9166920 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=2
D 19:17:19.9168090 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 19:17:19.9169150 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=2
D 19:17:19.9170240 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=3
D 19:17:19.9171310 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 19:17:19.9172480 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 19:17:19.9174110 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [entityName=UNKNOWN ENTITY [cardType=INVALID] id=4 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:17:19.9175350 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:17:19.9176430 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:17:19.9177550 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=4
D 19:17:19.9178990 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [entityName=UNKNOWN ENTITY [cardType=INVALID] id=5 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:17:19.9180210 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 19:17:19.9183880 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 19:17:19.9185160 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=5
D 19:17:19.9186670 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [entityName=UNKNOWN ENTITY [cardType=INVALID] id=6 zone=DECK zonePos=0 cardId= player=1] CardID=
D 19:17:19.9187930 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
