D 18:21:40.7482750 PowerTaskList.DebugPrintPower() -     CREATE_GAME
D 18:21:40.7483190 PowerTaskList.DebugPrintPower() -         GameEntity EntityID=1
D 18:21:40.7484260 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 18:21:40.7484740 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=1
D 18:21:40.7485330 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=GAME
D 18:21:40.7486020 PowerTaskList.DebugPrintPower() -         Player EntityID=2 PlayerID=1 GameAccountId=redacted
D 18:21:40.7486480 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=66
D 18:21:40.7486910 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 18:21:40.7487370 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 18:21:40.7487790 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=1
D 18:21:40.7488710 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=1
D 18:21:40.7489240 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 18:21:40.7489680 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=1
D 18:21:40.7490140 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=2
D 18:21:40.7490570 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 18:21:40.7491110 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 18:21:40.7491570 PowerTaskList.DebugPrintPower() -         Player EntityID=3 PlayerID=2 GameAccountId=redacted
D 18:21:40.7492040 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=68
D 18:21:40.7492480 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 18:21:40.7492910 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 18:21:40.7493320 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=2
D 18:21:40.7494350 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=2
D 18:21:40.7494890 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 18:21:40.7495310 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=2
D 18:21:40.7495720 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=3
D 18:21:40.7496170 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 18:21:40.7496670 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 18:21:40.7498280 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=4 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7498850 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7499680 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7500120 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=4
D 18:21:40.7500870 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=5 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7501430 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7501890 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7502430 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=5
D 18:21:40.7503110 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=6 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7503640 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7504060 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7504470 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=6
D 18:21:40.7505140 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=7 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7505670 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7506110 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7506520 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=7
D 18:21:40.7507300 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=8 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7507830 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7508240 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7508670 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=8
D 18:21:40.7509290 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=9 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7509870 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7510330 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7510740 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=9
D 18:21:40.7511470 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=10 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7512050 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7512480 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7512900 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=10
D 18:21:40.7513530 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=11 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7514080 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7514500 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7514910 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=11
D 18:21:40.7515580 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=12 zone=DECK zonePos=0 cardId= player=1] CardID=
D 18:21:40.7516120 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 18:21:40.7516540 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 18:21:40.7516980 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=12
