D 10:24:47.2819610 ================== Begin Spectating 1st player ==================
D 10:24:48.3866400 GameState.DebugPrintPowerList() - Count=66
D 10:24:48.3880710 GameState.DebugPrintPower() - CREATE_GAME
D 10:24:48.3884520 GameState.DebugPrintPower() -     GameEntity EntityID=1
D 10:24:48.3896980 GameState.DebugPrintPower() -         tag=10 value=85
D 10:24:48.3902340 GameState.DebugPrintPower() -         tag=STEP value=MAIN_ACTION
D 10:24:48.3906420 GameState.DebugPrintPower() -         tag=TURN value=2
D 10:24:48.3911600 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 10:24:48.3915260 GameState.DebugPrintPower() -         tag=ENTITY_ID value=1
D 10:24:48.3918920 GameState.DebugPrintPower() -         tag=NEXT_STEP value=MAIN_END
D 10:24:48.3923080 GameState.DebugPrintPower() -         tag=CARDTYPE value=GAME
D 10:24:48.3930140 GameState.DebugPrintPower() -         tag=STATE value=RUNNING
D 10:24:48.3934750 GameState.DebugPrintPower() -     Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=15526987]
D 10:24:48.3939420 GameState.DebugPrintPower() -         tag=TIMEOUT value=75
D 10:24:48.3944420 GameState.DebugPrintPower() -         tag=PLAYSTATE value=PLAYING
D 10:24:48.3948350 GameState.DebugPrintPower() -         tag=CURRENT_PLAYER value=1
D 10:24:48.3952230 GameState.DebugPrintPower() -         tag=RESOURCES value=1
D 10:24:48.3956220 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=4
D 10:24:48.3960050 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 10:24:48.3963720 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 10:24:48.3967390 GameState.DebugPrintPower() -         tag=PLAYER_ID value=1
D 10:24:48.3970990 GameState.DebugPrintPower() -         tag=TEAM_ID value=1
D 10:24:48.3974680 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 10:24:48.3978230 GameState.DebugPrintPower() -         tag=CONTROLLER value=1
D 10:24:48.3981820 GameState.DebugPrintPower() -         tag=ENTITY_ID value=2
D 10:24:48.3985400 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 10:24:48.3989340 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 10:24:48.3993120 GameState.DebugPrintPower() -         tag=NUM_TURNS_LEFT value=1
D 10:24:48.3998110 GameState.DebugPrintPower() -         tag=MULLIGAN_STATE value=DONE
D 10:24:48.4001940 GameState.DebugPrintPower() -         tag=NUM_CARDS_DRAWN_THIS_TURN value=1
D 10:24:48.4005860 GameState.DebugPrintPower() -     Player EntityID=3 PlayerID=2 GameAccountId=[hi=144115198130930503 lo=18640001]
D 10:24:48.4010410 GameState.DebugPrintPower() -         tag=TIMEOUT value=75
D 10:24:48.4014070 GameState.DebugPrintPower() -         tag=PLAYSTATE value=PLAYING
D 10:24:48.4017790 GameState.DebugPrintPower() -         tag=FIRST_PLAYER value=1
D 10:24:48.4021440 GameState.DebugPrintPower() -         tag=RESOURCES value=1
D 10:24:48.4025120 GameState.DebugPrintPower() -         tag=HERO_ENTITY value=36
D 10:24:48.4029190 GameState.DebugPrintPower() -         tag=MAXHANDSIZE value=10
D 10:24:48.4033050 GameState.DebugPrintPower() -         tag=STARTHANDSIZE value=4
D 10:24:48.4037050 GameState.DebugPrintPower() -         tag=PLAYER_ID value=2
D 10:24:48.4040860 GameState.DebugPrintPower() -         tag=TEAM_ID value=2
D 10:24:48.4044430 GameState.DebugPrintPower() -         tag=ZONE value=PLAY
D 10:24:48.4048040 GameState.DebugPrintPower() -         tag=CONTROLLER value=2
D 10:24:48.4051740 GameState.DebugPrintPower() -         tag=ENTITY_ID value=3
D 10:24:48.4055470 GameState.DebugPrintPower() -         tag=MAXRESOURCES value=10
D 10:24:48.4059460 GameState.DebugPrintPower() -         tag=CARDTYPE value=PLAYER
D 10:24:48.4063180 GameState.DebugPrintPower() -         tag=NUM_TURNS_LEFT value=1
D 10:24:48.4066910 GameState.DebugPrintPower() -         tag=MULLIGAN_STATE value=DONE
D 10:24:48.4070790 GameState.DebugPrintPower() -         tag=NUM_OPTIONS value=1
